Year,Month,date,NO3 (ugN/L)
1994,1,1/1/1994,454.62375
1994,2,2/1/1994,452.36475
1994,3,3/1/1994,432.5985
1994,4,4/1/1994,333.579
1994,5,5/1/1994,385.1595
1994,6,6/1/1994,323.037
1994,7,7/1/1994,546.678
1994,8,8/1/1994,310.236
1994,9,9/1/1994,336.591
1994,10,10/1/1994,298.75275
1994,11,11/1/1994,168.86025
1994,12,12/1/1994,249.996
1995,1,1/1/1995,189.003
1995,2,2/1/1995,228.159
1995,3,3/1/1995,256.02
1995,4,4/1/1995,207.075
1995,5,5/1/1995,232.677
1995,6,6/1/1995,276.7275
1995,7,7/1/1995,538.7715
1995,8,8/1/1995,432.5985
1995,9,9/1/1995,404.6837143
1995,10,10/1/1995,142.317
1995,11,11/1/1995,181.8495
1995,12,12/1/1995,180.15525
1996,1,1/1/1996,262.4958
1996,2,2/1/1996,272.77425
1996,3,3/1/1996,131.022
1996,4,4/1/1996,163.21275
1996,5,5/1/1996,171.684
1996,6,6/1/1996,54.216
1996,7,7/1/1996,175.449
1996,8,8/1/1996,185.238
1996,9,9/1/1996,271.08
1996,10,10/1/1996,363.699
1996,11,11/1/1996,192.015
1996,12,12/1/1996,241.2612
1997,1,1/1/1997,360.0846
1997,2,2/1/1997,297.62325
1997,3,3/1/1997,270.51525
1997,4,4/1/1997,291.8628
1997,5,5/1/1997,318.519
1997,6,6/1/1997,342.4644
1997,7,7/1/1997,311.17725
1997,8,8/1/1997,266.9385
1997,9,9/1/1997,265.056
1997,10,10/1/1997,210.9906
1997,11,11/1/1997,164.907
1997,12,12/1/1997,271.9836
1998,1,1/1/1998,298.188
1998,2,2/1/1998,312.30675
1998,3,3/1/1998,332.9766
1998,4,4/1/1998,230.418
1998,5,5/1/1998,430.90425
1998,6,6/1/1998,301.3506
1998,7,7/1/1998,239.454
1998,8,8/1/1998,343.368
1998,9,9/1/1998,328.6845
1998,10,10/1/1998,276.7275
1998,11,11/1/1998,194.7258
1998,12,12/1/1998,17.50725
1999,1,1/1/1999,59.6376
1999,2,2/1/1999,224.20575
1999,3,3/1/1999,173.0394
1999,4,4/1/1999,177.3315
1999,5,5/1/1999,291.411
1999,6,6/1/1999,280.5678
1999,7,7/1/1999,680.52375
1999,8,8/1/1999,146.835
1999,9,9/1/1999,140.058
1999,10,10/1/1999,125.3745
1999,11,11/1/1999,123.7932
1999,12,12/1/1999,278.7606
2000,1,1/1/2000,199.9215
2000,2,2/1/2000,292.164
2000,3,3/1/2000,193.3704
2000,4,4/1/2000,136.10475
2000,5,5/1/2000,179.8164
2000,6,6/1/2000,239.454
2000,7,7/1/2000,52.4088
2000,8,8/1/2000,0
2000,9,9/1/2000,93.18375
2000,10,10/1/2000,185.238
2000,11,11/1/2000,288.58725
2000,12,12/1/2000,282.93975
2001,1,1/1/2001,213.099
2001,2,2/1/2001,126.504
2001,3,3/1/2001,0
2001,4,4/1/2001,224.7705
2001,5,5/1/2001,236.63025
2001,6,6/1/2001,230.98275
2001,7,7/1/2001,138.7489095
2001,8,8/1/2001,169.5051945
2001,9,9/1/2001,192.4247826
2001,10,10/1/2001,144.456273
2001,11,11/1/2001,211.1639783
2001,12,12/1/2001,149.9693625
2002,1,1/1/2002,100.071441
2002,2,2/1/2002,175.8716213
2002,3,3/1/2002,35.714037
2002,4,4/1/2002,67.8047886
2002,5,5/1/2002,104.1461123
2002,6,6/1/2002,78.2144865
2002,7,7/1/2002,291.871836
2002,8,8/1/2002,297.461355
2002,9,9/1/2002,752.771088
2002,10,10/1/2002,492.321942
2002,11,11/1/2002,531.131562
2002,12,12/1/2002,453.1359726
2003,1,1/1/2003,424.1916315
2003,2,2/1/2003,319.6445468
2003,3,3/1/2003,217.763082
2003,4,4/1/2003,220.3997868
2003,5,5/1/2003,289.71675
2003,6,6/1/2003,225.9
2003,7,7/1/2003,472.4703018
2003,8,8/1/2003,425.292141
2003,9,9/1/2003,485.1439695
2003,10,10/1/2003,276.54678
2003,11,11/1/2003,512.9471768
2003,12,12/1/2003,444.998151
2004,1,1/1/2004,418.2555443
2004,2,2/1/2004,496.98
2004,3,3/1/2004,435.987
2004,4,4/1/2004,430.90425
2004,5,5/1/2004,509.4045
2004,6,6/1/2004,385.72425
2004,7,7/1/2004,447.84675
2004,8,8/1/2004,385.8372
2004,9,9/1/2004,337.7205
2004,10,10/1/2004,314.56575
2004,11,11/1/2004,289.6038
2004,12,12/1/2004,353.5335
2005,1,1/1/2005,22.59
2005,2,2/1/2005,85.842
2005,3,3/1/2005,0
2005,4,4/1/2005,0
2005,5,5/1/2005,178.461
2005,6,6/1/2005,0
2005,7,7/1/2005,5.855047206
2005,8,8/1/2005,17.23373548
2005,9,9/1/2005,0
2005,10,10/1/2005,0
2005,11,11/1/2005,53.43680495
2005,12,12/1/2005,68.0519247
2006,1,1/1/2006,50.46416706
2006,2,2/1/2006,51.13525675
2006,3,3/1/2006,64.19630123
2006,4,4/1/2006,94.30585536
2006,5,5/1/2006,82.67291424
2006,6,6/1/2006,59.99530377
2006,7,7/1/2006,86.45760411
2006,8,8/1/2006,72.67882141
2006,9,9/1/2006,63.5883446
2006,10,10/1/2006,71.14656045
2006,11,11/1/2006,87.85254223
2006,12,12/1/2006,81.3313965
2007,1,1/1/2007,66.82296867
2007,2,2/1/2007,67.5399734
2007,3,3/1/2007,70.96084112
2007,4,4/1/2007,66.58863142
2007,5,5/1/2007,78.95189082
2007,6,6/1/2007,42.53974629
2007,7,7/1/2007,67.26498036
2007,8,8/1/2007,58.47830754
2007,9,9/1/2007,67.06219837
2007,10,10/1/2007,72.39235828
2007,11,11/1/2007,80.6405514
2007,12,12/1/2007,76.42895098
2008,1,1/1/2008,36.33701256
2008,2,2/1/2008,27.28451429
2008,3,3/1/2008,66.18008645
2008,4,4/1/2008,71.45367054
2008,5,5/1/2008,23.79902934
2008,6,6/1/2008,28.72342311
2008,7,7/1/2008,33.77254613
2008,8,8/1/2008,43.53552155
2008,9,9/1/2008,40.10475812
2008,10,10/1/2008,54.11768812
2008,11,11/1/2008,33.47288939
2008,12,12/1/2008,24.75952285
2009,1,1/1/2009,62.30798627
2009,2,2/1/2009,61.1468094
2009,3,3/1/2009,49.39565488
2009,4,4/1/2009,37.95225111
2009,5,5/1/2009,64.76883034
2009,6,6/1/2009,92.1230475
2009,7,7/1/2009,49.24495578
2009,8,8/1/2009,51.43550449
2009,9,9/1/2009,57.62460291
2009,10,10/1/2009,0
2009,11,11/1/2009,379.512
2009,12,12/1/2009,402.5538
2010,1,1/1/2010,429.77475
2010,2,2/1/2010,438.81075
2010,3,3/1/2010,458.1252
2010,4,4/1/2010,456.318
2010,5,5/1/2010,490.203
2010,6,6/1/2010,520.13475
2010,7,7/1/2010,483.426
2010,8,8/1/2010,511.09875
2010,9,9/1/2010,433.728
2010,10,10/1/2010,499.239
2010,11,11/1/2010,411.5898
2010,12,12/1/2010,404.361
2011,1,1/1/2011,414.3006
2011,2,2/1/2011,415.09125
2011,3,3/1/2011,454.62375
2011,4,4/1/2011,367.0875
2011,5,5/1/2011,470.3238
2011,6,6/1/2011,501.498
2011,7,7/1/2011,343.93275
2011,8,8/1/2011,423.3366
2011,9,9/1/2011,406.05525
2011,10,10/1/2011,476.1972
2011,11,11/1/2011,376.1235
2011,12,12/1/2011,429.77475
2012,1,1/1/2012,419.0445
2012,2,2/1/2012,394.76025
2012,3,3/1/2012,307.890405
2012,4,4/1/2012,394.706034
2012,5,5/1/2012,432.587205
2012,6,6/1/2012,409.8786075
2012,7,7/1/2012,410.830776
2012,8,8/1/2012,397.6574175
2012,9,9/1/2012,289.8297
2012,10,10/1/2012,327.866742
2012,11,11/1/2012,384.6794625
2012,12,12/1/2012,386.474238
2013,1,1/1/2013,377.2360575
2013,2,2/1/2013,338.38314
2013,3,3/1/2013,359.0624025
2013,4,4/1/2013,518.765796
2013,5,5/1/2013,438.246
2013,6,6/1/2013,427.1712525
2013,7,7/1/2013,396.549378
2013,8,8/1/2013,469.8098775
2013,9,9/1/2013,390.005055
2013,10,10/1/2013,469.718388
2013,11,11/1/2013,236.0824425
2013,12,12/1/2013,5.15805
2014,1,1/1/2014,5.0319225
2014,2,2/1/2014,7.97427
2014,3,3/1/2014,77.0714325
2014,4,4/1/2014,388.290474
2014,5,5/1/2014,459.4636575
2014,6,6/1/2014,444.830985
2014,7,7/1/2014,271.662822
2014,8,8/1/2014,209.56743
2014,9,9/1/2014,161.8742925
2014,10,10/1/2014,367.22304
2014,11,11/1/2014,348.5354625
2014,12,12/1/2014,262.7160525
